Gender,Age,Semester,Branch,Difficulty_Level,Attendance (%),Midterm_Score,Assignments_Avg,Quizzes_Avg,Participation_Score,Projects_Score,Study_Hours_per_Week,Internet_Access_at_Home,Parent_Education_Level,Family_Income_Level,Stress_Level,Sleep_Hours_per_Night,Final_Score,Grade,Pass/Fail
Male,21,4,CSE,Easy,53.09805609928231,24.68,13.43,31.1,3.5472348457964125,17.46,8.796530950329256,Yes,,Low,6.05,6.48,27.07,F,Fail
Female,20,1,Civil,Moderate,84.5244335724264,73.99,74.55,54.29,7.2521098906139425,52.64,21.57725485591761,Yes,Graduate,Low,4.4,7.48,76.47,A,Pass
Male,25,8,CSE,Hard,55.3031595931846,31.48,28.88,21.55,5.489364802176912,30.68,15.608483931987616,Yes,Postgraduate,Mid,8.06,6.62,28.13,F,Fail
Male,20,5,CSE,Easy,,63.31,51.13,49.01,2.926095555933303,40.05,19.35747115276313,Yes,,Mid,2.45,8.25,70.4,A,Pass
Male,19,2,EEE,Easy,67.29562066233628,59.21,54.11,54.69,3.28866571692684,41.26,18.462809716140995,Yes,Secondary,Mid,3.42,9.14,72.26,A,Pass
Male,20,5,Civil,Moderate,65.0984048747208,58.17,62.04,49.71,6.825206726133789,39.47,21.656909733382744,Yes,Postgraduate,Mid,4.5,7.15,58.84,C,Pass
Male,20,3,CSE,Hard,60.04421742885835,43.49,51.03,45.25,4.822790341003726,45.68,20.45423725433751,No,,Low,7.54,7.13,49.7,D,Pass
Male,20,4,ECE,Moderate,42.14353055172579,34.06,40.21,29.53,2.966860786517086,35.52,14.64791108845847,Yes,Primary,High,5.98,7.21,44.95,D,Pass
Male,23,3,EEE,Easy,74.53063468387451,69.2,70.11,68.85,6.388405956497249,58.16,27.91735890659421,No,Primary,Mid,1.71,8.61,85.98,E,Pass
Female,26,7,CSE,Hard,68.15564870497944,76.51,71.06,47.88,6.645820399623089,28.85,35.892199404081715,No,,,7.49,6.96,77.51,A,Pass
Female,25,8,CSE,Hard,59.22959651922022,51.57,60.46,35.0,7.425984326898783,42.59,21.3776781342414,Yes,Postgraduate,Mid,7.64,6.28,62.47,B,Pass
Male,21,2,ME,Easy,74.86522294469377,67.08,70.71,38.33,7.136565188299813,53.97,19.99761048472748,Yes,Postgraduate,Mid,5.23,8.24,77.75,A,Pass
Male,18,1,CSE,Easy,81.12040739182399,58.27,64.89,44.88,5.010569350188368,62.74,26.722414144635167,Yes,,,3.74,8.35,71.1,A,Pass
Female,18,2,ECE,Easy,70.24948765795698,77.51,74.88,49.9,6.64419015081457,70.73,28.51376307965545,Yes,Secondary,Mid,3.04,8.56,88.27,E,Pass
Female,23,5,ECE,Easy,44.928239136449655,33.34,27.78,35.1,3.5349905636700107,40.58,20.50356547579536,Yes,Postgraduate,Mid,3.68,7.27,47.27,D,Pass
Male,20,2,Civil,Easy,85.94341519743182,54.46,59.63,33.02,,45.34,22.800019802179957,Yes,Graduate,Mid,4.79,8.88,77.56,A,Pass
Male,23,7,EEE,Moderate,49.65928883492021,24.0,38.03,21.2,1.534739656511542,41.44,12.386934734287257,Yes,Secondary,Low,6.94,7.1,39.14,F,Fail
Female,19,3,ECE,Hard,,51.55,49.1,33.22,6.858365842296312,55.51,21.390336157955133,Yes,Secondary,High,6.71,6.7,50.15,C,Pass
Male,23,5,ECE,Easy,78.9389158242167,61.79,63.33,73.91,7.419300008490162,44.35,24.59369136320068,Yes,Postgraduate,Mid,3.29,7.3,87.41,E,Pass
Female,18,4,ME,Moderate,52.51267947519814,48.54,56.7,27.97,3.996813419085402,43.08,25.47176959053467,Yes,,Mid,6.34,6.61,64.53,B,Pass
Male,25,7,CSE,Easy,68.49971090420028,64.86,62.78,37.81,6.944231494420224,51.6,24.154337239104304,No,Postgraduate,,4.32,7.58,76.09,A,Pass
Male,18,1,EEE,Easy,70.1306599878647,68.76,58.31,58.41,7.003381369365807,40.64,17.58455794305324,Yes,,Low,3.81,5.36,89.08,E,Pass
Male,24,6,CSE,Hard,70.28907604102606,50.58,59.03,55.08,6.9428785816675695,53.47,22.727590495981698,Yes,Postgraduate,Mid,8.96,7.65,72.77,A,Pass
Male,23,5,CSE,Easy,72.08932260320914,47.53,48.65,39.77,6.081593111590045,33.54,24.09831514408993,No,Primary,Mid,2.38,8.84,60.35,B,Pass
Male,21,5,ME,Hard,67.2359725263829,32.69,59.68,34.18,4.537395594247674,28.57,13.671914991056616,Yes,Postgraduate,Mid,7.05,7.87,44.2,D,Fail
Female,18,3,CSE,Easy,85.69641809961912,63.36,59.0,57.89,5.448769859871664,45.3,23.09139848667825,Yes,,Mid,6.28,7.02,72.41,A,Pass
Male,20,1,ECE,Easy,55.5745276325929,26.46,19.1,33.89,4.901820688244315,9.46,7.952740645736521,Yes,Postgraduate,Mid,5.39,8.27,33.72,F,Fail
Female,22,5,CSE,Hard,56.831571825521245,42.63,45.48,41.76,5.061641512738692,46.21,18.97291618919685,No,Primary,Mid,6.05,7.76,51.29,C,Pass
Male,24,7,ECE,Hard,55.36221368079089,60.39,53.52,50.23,8.601396789513743,50.32,22.187237458379983,Yes,Primary,Low,7.38,7.07,69.92,B,Pass
Male,19,1,Civil,Hard,58.473740178211536,25.93,32.26,37.18,5.382558141738176,16.11,11.416554321198374,No,Postgraduate,Low,8.14,6.32,42.43,D,Fail
Male,20,4,ME,Hard,52.2373745847889,26.52,37.52,26.14,4.252372800385984,39.11,,Yes,Graduate,High,9.5,6.56,31.83,F,Fail
Female,20,2,CSE,Hard,70.62328111381808,65.83,89.81,48.69,7.333730504780448,59.64,28.199505764596207,No,Graduate,Low,7.69,7.22,75.24,A,Pass
Male,23,5,CSE,Hard,57.98634310880082,54.21,56.05,47.95,4.283292235453558,37.31,20.88904299385716,Yes,Secondary,High,6.0,7.79,58.87,C,Pass
Male,25,6,ECE,Easy,67.86936730482384,76.44,53.2,30.2,3.866806497926072,49.71,26.746246273183413,Yes,Primary,Mid,4.1,7.67,72.77,A,Pass
Female,24,5,ME,Hard,,70.94,67.52,55.92,7.408090661109528,77.76,33.159915368293404,Yes,Primary,Mid,7.16,6.5,86.57,E,Pass
Male,20,3,ME,Moderate,64.74704272885594,37.15,43.73,35.99,2.976615809198752,37.02,15.514365068305354,Yes,,Low,4.97,7.61,46.91,D,Pass
Female,19,1,Civil,Easy,80.45225537387552,62.75,67.34,58.0,8.755313978544356,50.94,19.64515318013869,Yes,Secondary,Mid,3.65,8.17,76.9,A,Pass
Female,23,6,CSE,Easy,49.99507398621737,34.9,15.89,15.75,1.0,11.61,7.644683437778762,Yes,,Low,2.88,8.89,34.6,F,Fail
Male,20,3,ME,Moderate,82.03103213411435,65.4,60.84,64.64,4.714203217342601,54.71,25.456245937973662,No,,Low,5.42,6.56,74.14,A,Pass
Male,18,1,ME,Moderate,82.85476494688831,72.02,53.6,52.72,7.253977786031431,65.79,22.432918031941327,Yes,Secondary,Mid,5.34,6.45,83.12,E,Pass
Female,22,5,EEE,Hard,72.80778133864253,68.86,60.26,47.3,7.033408137136442,52.84,22.128996539432464,Yes,Postgraduate,Low,6.22,6.98,67.09,B,Pass
Male,18,2,CSE,Easy,61.323409091378686,54.06,48.83,24.84,2.559968402239085,44.92,17.293497801029062,Yes,Graduate,Mid,5.59,7.15,65.99000000000001,B,Pass
Male,24,7,CSE,Moderate,92.69602971404896,83.37,56.97,67.99,4.273604093017031,54.87,26.442333130790047,Yes,Graduate,Mid,6.64,6.86,91.22,O,Pass
Male,20,1,ECE,Easy,92.618104625142,77.37,61.32,41.95,4.855595861008238,75.2,27.219040574974034,Yes,Graduate,High,2.15,10.0,88.56,E,Pass
Male,22,4,ECE,Moderate,80.46762828647225,76.11,75.44,66.29,8.154848771505424,73.02,27.85472655149873,Yes,Secondary,High,6.74,8.27,79.45,A,Pass
Female,19,2,ECE,Moderate,64.61912482306585,69.3,51.63,45.01,6.015252377545623,50.53,25.560439063576048,Yes,Secondary,Mid,5.54,7.85,71.35,A,Pass
Female,22,5,Civil,Easy,61.746983392618816,53.73,46.02,61.61,7.180890965108334,50.66,20.42882528075597,Yes,Graduate,Mid,3.02,7.62,61.55,B,Pass
Female,20,4,EEE,Easy,77.0241759003059,66.13,71.71,34.31,5.8560134157346,70.27,30.66010220469153,Yes,Graduate,Mid,5.8,7.81,75.68,A,Pass
Female,22,6,CSE,Moderate,61.67520938939466,50.63,61.82,41.14,4.27391910128573,45.94,23.157282371328165,Yes,Graduate,Low,6.15,6.87,61.02,B,Pass
Male,22,4,ME,Moderate,,76.61,75.23,66.3,7.597103133228635,60.54,29.593979840798408,Yes,Postgraduate,High,3.59,8.11,87.78,E,Pass
Female,18,1,CSE,Easy,62.06534942421521,56.8,62.48,58.69,7.788209091206419,57.87,24.24080588094888,Yes,Postgraduate,Mid,3.1,8.08,75.73,A,Pass
Male,18,2,Civil,Easy,77.03197545657544,59.68,61.55,59.92,4.970559969644466,56.97,22.154424000725108,Yes,Graduate,Mid,4.02,7.26,73.6,A,Pass
Male,26,8,CSE,Moderate,,46.49,41.18,36.52,4.668579543303186,50.23,21.384429555286268,Yes,Secondary,Mid,6.55,5.57,43.27,D,Fail
Female,20,3,EEE,Hard,57.591270672042256,55.61,70.22,51.47,6.284567110463867,56.3,26.86878848349182,Yes,Secondary,Low,8.2,5.24,69.32,B,Pass
Male,22,5,ECE,Hard,60.81173822620285,43.34,54.93,30.51,,44.12,22.08120836814872,No,,Low,7.82,7.18,51.85,C,Pass
Female,24,7,ECE,Hard,75.99189071538977,59.92,80.47,58.67,8.115980566734587,69.72,28.3481899558506,No,,Low,4.91,7.65,80.73,E,Pass
Male,21,1,ECE,Moderate,66.36986656454691,38.02,46.36,45.41,4.206163064760855,46.73,21.747392145630037,Yes,Graduate,Mid,5.01,8.29,68.18,B,Pass
Female,22,5,ECE,Easy,65.8530354718927,56.28,56.28,41.37,5.012851656406699,35.85,22.473030293502987,Yes,Secondary,Mid,7.59,7.2,63.64,B,Pass
Male,19,2,CSE,Easy,70.60673535198029,31.51,44.37,28.04,4.233552021543363,17.74,19.50802747541201,No,Graduate,Low,7.77,8.27,50.6,C,Pass
Male,22,2,ME,Moderate,57.94612197640527,58.28,49.65,30.98,6.943085548447051,27.07,20.249797436530585,Yes,Graduate,Low,6.1,7.33,57.0,C,Pass
Male,19,2,ME,Moderate,76.01883132169925,79.56,56.15,62.09,8.396073932920427,46.14,22.99690565588254,Yes,,Mid,6.37,7.0,73.92,A,Pass
Male,27,7,EEE,Moderate,62.54978281527276,53.68,58.17,39.56,3.7868392453630886,55.57,24.15947249624728,Yes,,Mid,6.32,6.28,72.12,A,Pass
Male,18,3,ECE,Moderate,73.94121532785664,63.46,68.69,61.63,7.551292739911117,53.13,28.2019607598384,Yes,Secondary,Mid,7.24,6.98,81.74,E,Pass
Female,18,1,ME,Easy,56.27876558243878,42.39,33.41,24.12,4.366660742223691,34.51,,Yes,,Low,5.72,7.66,44.34,D,Pass
Male,18,1,Civil,Moderate,71.25819462386282,57.65,38.99,37.37,4.948610144226499,51.76,17.275755811550425,Yes,Secondary,Mid,6.34,6.91,61.55,B,Pass
Male,19,1,Civil,Moderate,65.24257387474685,64.51,65.48,25.16,3.364134274252839,17.84,19.82428807240843,No,Postgraduate,Low,7.8,6.99,65.44,B,Pass
Male,27,7,CSE,Hard,53.66314831234729,26.84,30.54,28.13,5.210582099591597,24.64,20.323073290398952,Yes,Secondary,Mid,8.59,6.52,40.59,D,Fail
Male,19,3,ECE,Moderate,55.73449678640237,46.21,40.94,25.63,5.16473885511566,30.5,15.094777831234689,Yes,Primary,Low,5.47,8.51,48.75,D,Pass
Male,26,8,CSE,Moderate,70.83049906650021,43.69,72.05,42.43,5.301961541359459,47.25,18.926790197096416,Yes,Primary,Low,6.33,7.13,52.5,C,Pass
Male,27,7,ECE,Hard,62.73454066452312,26.52,26.2,47.86,1.3599232922843325,31.04,12.698436782347027,Yes,Secondary,High,8.84,6.37,38.91,F,Fail
Male,26,7,Civil,Moderate,81.61743138871775,80.27,57.52,82.9,6.677447666761469,46.29,21.358060609810675,No,Secondary,,4.25,8.08,76.86,A,Pass
Female,18,2,Civil,Moderate,66.95980837847225,45.0,46.16,50.49,6.168922189110505,35.48,15.790376333564437,No,Secondary,,7.56,8.14,56.36,C,Pass
Male,20,2,Civil,Easy,75.50428763399587,66.8,45.9,38.83,3.569991371656902,47.07,19.372647571240336,Yes,Graduate,Low,4.94,7.54,70.14,A,Pass
Male,23,5,ECE,Moderate,78.63732886227638,59.62,54.01,66.54,1.6484248779652892,46.03,20.29057963526956,Yes,Secondary,Mid,5.55,6.92,61.41,B,Pass
Male,19,3,CSE,Moderate,70.87470828726468,63.81,68.49,48.64,5.132863101298416,40.74,23.63540454009959,No,Secondary,Mid,6.32,7.33,65.24000000000001,B,Pass
Male,22,4,CSE,Easy,42.99891500750904,27.97,21.03,34.86,2.1524678806447364,32.85,20.69407268247877,No,Secondary,High,6.86,6.75,34.86,F,Fail
Female,18,1,ME,Hard,,32.72,64.43,40.59,3.768854683187384,59.74,27.00083067383376,Yes,Secondary,Mid,7.15,5.84,68.75,B,Pass
Male,25,8,CSE,Hard,,35.76,43.08,23.99,3.847342781781729,37.04,15.624845881893464,No,Secondary,Low,6.96,7.5,44.37,D,Pass
Male,18,1,CSE,Easy,78.21103794126792,48.04,51.94,51.8,5.900915456915068,45.57,,No,Secondary,Low,2.7,6.9,72.66,A,Pass
Male,18,2,ECE,Easy,83.09932685646581,82.38,84.88,71.01,5.710158933262879,71.15,39.23696273483358,No,Postgraduate,Mid,1.0,7.94,100.0,O,Pass
Female,22,5,CSE,Moderate,75.0224675536712,49.57,52.78,46.64,8.381772051022077,50.01,17.545951337338195,Yes,Primary,High,4.7,7.21,60.75,B,Pass
Male,19,2,CSE,Easy,54.4652085705248,31.71,30.2,11.48,3.719667622562918,46.22,18.780732299979373,Yes,Graduate,High,4.36,8.45,46.76,D,Pass
Male,18,1,EEE,Easy,49.42970375147016,20.0,14.03,16.94,,14.22,4.732707106099545,Yes,Secondary,Mid,8.59,6.82,19.07,F,Fail
Male,20,2,CSE,Easy,79.95031573142353,70.29,58.85,43.07,6.485103527586992,42.28,27.398426630120987,Yes,Primary,Mid,1.46,9.74,82.46,E,Pass
Male,18,1,Civil,Easy,85.98147778008345,63.01,70.91,49.27,3.6247679675730367,53.36,29.042051800642103,No,Postgraduate,Mid,3.51,8.34,81.45,E,Pass
Male,20,2,EEE,Easy,,71.39,52.47,53.34,6.296023228695721,45.44,23.28447852006024,Yes,Secondary,,1.88,8.27,73.03,A,Pass
Female,20,2,ECE,Easy,40.60815138437381,20.0,22.39,15.34,2.3730869953005764,18.05,14.740323298537428,Yes,,Low,4.6,6.33,32.97,F,Fail
Male,23,4,EEE,Moderate,59.670914596320046,60.99,75.17,33.62,5.217155817836173,50.82,32.63073005615556,Yes,Secondary,,9.65,5.85,70.44,A,Pass
Female,22,4,CSE,Easy,82.56848255236385,60.34,60.66,52.05,5.43493969310408,42.52,20.425660491765097,Yes,Secondary,,1.0,9.22,72.35,A,Pass
Male,21,4,EEE,Easy,73.87464302219223,68.82,47.39,57.6,4.093982241207438,38.12,24.04722199157424,Yes,Graduate,Mid,4.0,6.83,69.65,B,Pass
Male,22,5,Civil,Moderate,,40.71,51.01,27.07,6.831617817990235,29.59,24.220599609785918,Yes,Graduate,,3.44,8.36,63.62,B,Pass
Female,22,2,Civil,Easy,48.28676898023316,54.19,51.71,48.08,4.323619672230977,24.11,12.407866869356983,No,,Low,4.91,7.66,60.23,B,Pass
Male,19,1,CSE,Hard,81.53761687229743,65.35,85.64,59.79,5.047234622571743,47.19,27.6222090817601,Yes,Secondary,Mid,8.11,6.47,76.75,A,Pass
Male,24,7,Civil,Hard,66.05730217584087,53.61,58.22,51.06,4.319637299321369,42.34,20.42445814466433,Yes,Graduate,Low,4.59,7.5,61.29,B,Pass
Female,22,5,EEE,Moderate,65.03598870042408,49.7,58.16,42.8,6.499180495226402,37.37,21.22351788453732,No,Graduate,Low,7.22,6.42,64.91,B,Pass
Female,18,1,Civil,Easy,58.73056951348464,65.12,78.86,62.88,8.170563991309507,61.55,27.543209542128118,Yes,Graduate,High,5.79,6.21,74.03,A,Pass
Female,23,8,CSE,Hard,,52.93,67.18,42.47,7.132668020110608,57.0,30.98449635538676,Yes,Primary,High,8.14,4.22,59.42,C,Pass
Female,26,6,CSE,Moderate,64.02375735290708,46.28,58.9,47.45,5.977755537388424,36.82,17.320600591206755,No,,Low,6.07,8.08,58.68,C,Pass
Male,20,2,ECE,Moderate,82.88926595180533,65.0,81.95,56.1,8.052215711587804,68.2,34.17930126451271,Yes,Graduate,Mid,3.16,8.24,78.32,A,Pass
Male,23,8,ME,Hard,58.68214900274791,20.0,37.16,24.64,,17.76,16.414226162269248,Yes,,Mid,10.0,6.43,31.5,F,Fail
Female,20,3,CSE,Easy,60.97762080694277,59.16,55.83,42.93,3.886316054484341,37.31,26.44610212728349,Yes,Graduate,Mid,4.02,8.13,72.94,A,Pass
Female,27,8,EEE,Hard,74.28294411715669,81.29,77.78,54.55,3.346459268777907,69.92,,Yes,Postgraduate,Low,5.74,7.57,82.99,E,Pass
Male,18,1,ECE,Easy,80.3138259574774,57.42,64.06,49.22,5.098857566363828,49.22,28.22090478907733,Yes,Secondary,Mid,5.28,9.3,77.63,A,Pass
Male,18,2,ECE,Moderate,45.84280510409712,39.71,33.89,32.54,4.049037546833653,25.02,18.1445702419656,Yes,Primary,Mid,5.82,7.55,60.29,B,Pass
Male,23,5,ECE,Easy,75.02937728248217,62.05,51.27,45.53,7.042373966119071,31.81,25.02248673750725,Yes,Graduate,Low,2.99,8.98,70.07,A,Pass
Male,19,1,ME,Easy,57.56736743677858,43.78,47.31,33.83,4.446499398111032,48.59,17.023160847552617,Yes,Secondary,Mid,3.73,7.27,62.9,B,Pass
Male,18,1,CSE,Easy,44.29894755983885,38.4,38.1,19.87,2.226749332021856,14.17,15.412274691664678,Yes,Secondary,Low,5.04,7.83,42.33,D,Fail
Female,22,6,CSE,Moderate,47.38401087170873,38.11,34.89,53.29,1.0277552293211325,18.65,,Yes,Graduate,Mid,8.39,8.15,45.1,D,Fail
Male,20,2,ECE,Easy,91.73457635000132,79.59,47.72,47.01,6.720345194357996,47.42,23.3402611160968,Yes,Secondary,Mid,4.23,8.1,87.04,E,Pass
Male,23,8,ME,Easy,53.38014461792324,22.37,21.81,32.96,3.803666705368373,20.09,7.270065850378703,Yes,Secondary,Low,6.92,6.67,14.27,F,Fail
Male,19,3,ME,Hard,33.59006421366395,23.07,15.66,30.29,3.102282800436716,26.4,10.845009008557469,Yes,,Low,7.27,6.81,21.55,F,Fail
Male,24,7,CSE,Moderate,65.97176698296785,66.74,57.76,47.39,6.068700339935687,55.29,23.498722111816832,Yes,Primary,,3.96,6.37,79.43,A,Pass
Male,21,3,CSE,Hard,63.306435460871086,54.34,53.2,54.74,9.444553569437623,57.06,27.215137452879446,Yes,,Mid,8.36,5.79,63.11,B,Pass
Male,20,4,ECE,Hard,54.0251041643329,43.37,39.69,32.47,8.233581513221495,38.41,17.130651137191542,Yes,Graduate,,7.33,7.25,40.18,D,Fail
Male,21,3,ECE,Easy,64.7615067608034,58.92,62.94,47.7,5.810042124336264,39.14,20.942258370500163,Yes,,Mid,3.91,8.33,74.3,A,Pass
Male,24,5,ME,Moderate,51.583835497529,51.57,43.94,44.81,3.053400221891727,52.92,22.416133715229066,Yes,,Mid,7.42,7.13,58.26,C,Pass
Male,19,3,ME,Moderate,68.03762031139472,30.22,33.29,36.57,1.48548795642721,53.84,18.397839157947654,Yes,Secondary,,5.01,6.94,39.69,F,Fail
Male,24,2,ECE,Moderate,69.54603334938561,55.91,68.01,43.36,6.999574205403268,48.99,22.52994592026669,Yes,Secondary,Mid,5.96,7.4,67.12,B,Pass
Female,20,1,CSE,Easy,69.86797584925068,63.25,57.11,54.83,8.509791731996671,49.75,20.83870239924912,No,,Low,3.71,9.02,81.02,E,Pass
Female,18,1,CSE,Easy,84.51989065108846,69.97,49.52,48.03,7.52226066414809,50.69,21.902721265615973,Yes,Graduate,High,4.74,6.29,78.82,A,Pass
Female,20,3,ME,Easy,82.74618155358127,64.05,64.46,44.33,,57.44,28.450103379392434,Yes,Secondary,Low,5.24,7.22,82.29,E,Pass
Male,22,6,ECE,Hard,68.2053399622173,55.06,65.99,53.28,6.392626230954286,50.39,21.80365272520336,Yes,Primary,Low,9.72,5.78,72.08,A,Pass
